danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist,song_name
0.561,0.0234,5,-26.663,0,0.034,0.991,0.878,0.099,0.248,95.963,audio_features,3UuRldDkQBgFmEkgWG42Ge,spotify:track:3UuRldDkQBgFmEkgWG42Ge,https://api.spotify.com/v1/tracks/3UuRldDkQBgFmEkgWG42Ge,https://api.spotify.com/v1/audio-analysis/3UuRldDkQBgFmEkgWG42Ge,168787,3,Daníel Fannar,Monuments
0.371,0.0387,8,-28.252,0,0.0527,0.995,0.923,0.0912,0.0815,142.464,audio_features,7lPvVD6xk2KjEqyS0VkxM1,spotify:track:7lPvVD6xk2KjEqyS0VkxM1,https://api.spotify.com/v1/tracks/7lPvVD6xk2KjEqyS0VkxM1,https://api.spotify.com/v1/audio-analysis/7lPvVD6xk2KjEqyS0VkxM1,135240,3,Lucas van Kesteren,Luminous
0.266,0.053,7,-26.472,0,0.0418,0.993,0.943,0.108,0.184,61.38,audio_features,16QEKihp9N6eHLbeIat4jb,spotify:track:16QEKihp9N6eHLbeIat4jb,https://api.spotify.com/v1/tracks/16QEKihp9N6eHLbeIat4jb,https://api.spotify.com/v1/audio-analysis/16QEKihp9N6eHLbeIat4jb,145182,4,Amandine Moulin,Histoire d'un Jour
0.586,0.161,8,-28.224,1,0.0399,0.992,0.945,0.106,0.331,73.436,audio_features,7lihjNUhcrpaennBT2nuWX,spotify:track:7lihjNUhcrpaennBT2nuWX,https://api.spotify.com/v1/tracks/7lihjNUhcrpaennBT2nuWX,https://api.spotify.com/v1/audio-analysis/7lihjNUhcrpaennBT2nuWX,161013,3,Hideyuki Hashimoto,Kanade
0.291,0.033,7,-30.763,1,0.0528,0.987,0.9,0.105,0.263,161.443,audio_features,7yKhLZM7KvuutJEDBAkSbB,spotify:track:7yKhLZM7KvuutJEDBAkSbB,https://api.spotify.com/v1/tracks/7yKhLZM7KvuutJEDBAkSbB,https://api.spotify.com/v1/audio-analysis/7yKhLZM7KvuutJEDBAkSbB,128875,4,Klaus Weissmuller,erinna
0.485,0.0349,4,-27.584,1,0.0526,0.993,0.978,0.111,0.487,80.627,audio_features,6QjDVuX5ufvEQZfo5gmBKi,spotify:track:6QjDVuX5ufvEQZfo5gmBKi,https://api.spotify.com/v1/tracks/6QjDVuX5ufvEQZfo5gmBKi,https://api.spotify.com/v1/audio-analysis/6QjDVuX5ufvEQZfo5gmBKi,138718,3,Tiphaine Calvet,Views Of Nature
0.354,0.0118,5,-24.64,1,0.0448,0.995,0.93,0.0982,0.106,81.191,audio_features,6amOk7q9AqwG40cUZlLyJx,spotify:track:6amOk7q9AqwG40cUZlLyJx,https://api.spotify.com/v1/tracks/6amOk7q9AqwG40cUZlLyJx,https://api.spotify.com/v1/audio-analysis/6amOk7q9AqwG40cUZlLyJx,177000,4,Mirta da Silva,Tras Salomé
0.463,0.0322,7,-30.019,1,0.0393,0.991,0.939,0.103,0.198,100.024,audio_features,3saXbQ6vzfvSYTUcpBBm2t,spotify:track:3saXbQ6vzfvSYTUcpBBm2t,https://api.spotify.com/v1/tracks/3saXbQ6vzfvSYTUcpBBm2t,https://api.spotify.com/v1/audio-analysis/3saXbQ6vzfvSYTUcpBBm2t,137000,3,Jozef De Schutter,With you
0.4,0.0137,5,-26.971,1,0.0658,0.996,0.908,0.0835,0.0769,106.644,audio_features,0giYe8sQbW7LaO2UqMcG7k,spotify:track:0giYe8sQbW7LaO2UqMcG7k,https://api.spotify.com/v1/tracks/0giYe8sQbW7LaO2UqMcG7k,https://api.spotify.com/v1/audio-analysis/0giYe8sQbW7LaO2UqMcG7k,177020,3,Hazel Dumoulin,Perfume
0.228,0.0101,5,-32.938,1,0.0446,0.988,0.759,0.177,0.183,112.62,audio_features,1XxpdpkVxh9B3jYOW3Le14,spotify:track:1XxpdpkVxh9B3jYOW3Le14,https://api.spotify.com/v1/tracks/1XxpdpkVxh9B3jYOW3Le14,https://api.spotify.com/v1/audio-analysis/1XxpdpkVxh9B3jYOW3Le14,152908,4,Lekk,Wurzeln
